微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwDyXhk2K,【常武购书中心明天恢复营业，进店须出示健康绿码】常州新华书店常武购书中心店明天（3月2日）起恢复营业，疫情期间营业时间为上午10点至下午4点。青果书房24小时书店暂不营业。常州新华书店工作人员介绍，为了保障来店读者的安全和健康，书店每天定时消毒，做好卫生工作，进门处设立了体温检测区，严格把控进店第一关，并设立醒目的“一米线”标识，要求付款时读者之间保持安全距离。 原图 ,,http://wx2.sinaimg.cn/large/9bf793c7gy1gcerpdcfu8j20m80ep765.jpg,无,无,2020-03-01 21:53,微博 weibo.com,13,1,5
IwB6rvCSN,【游览公园请提前预约“我的常州”APP推出“游园预约”功能】       为有序疏导我市各大公园的游园客流，避免出现人员聚集，保障游园安全，市民游览公园请提前预约。　　在“我的常州”APP上推出“游园预约”功能，预约通道于３月１日下午６点正式上线，市民可使用绿色健康码预约第二天的入园通行码。同时，游客还可及时了解各公园预约入园的实时情况，合理调整自己的游园安排。预约有三大规则：一是开放预约时间：每日20:00开始预约次日号，约满或所预约的时段过时即止；二是预约成功后，将生成预约凭证，可在“我的预约”中查看；三是预约凭证仅限规定的入园时段使用，过时自动失效。　　据了解，市公园管理中心每天对各大公园的入园人数进行统计监测分析，入园人数存在很大悬殊，红梅公园、荆川公园每天入园人数达2000人以上，而荷园、西林公园等仅为100多人。仅27日下午，红梅公园曾出现短暂排队入园现象，公园管理方及时采取有效措施，才有效杜绝人员聚集情况的发生。值得注意的是，游园人员请按照预约时段入园，不可提前或超时入园，超时的预约凭证将自动失效，不予入园；入园时请主动向工作人员出示预约凭证、绿色健康码，并经体温测量正常后方可入园；年满70周岁及以上的老人，可免预约，凭绿色健康码、身份证并经体温测量正常后方可入园；游客自觉保持“一米线”安全距离，戴口罩、勿扎堆、不吐痰；公园开放时间为早6:00—晚6:00，后续视情调整。为此，公园管理部门提请广大市民和游客，尽量采用错峰入园方式，共同维护好疫情防控期间的公园秩序。附：“我的常州”APP入园预约操作流程：步骤一：在“我的常州”APP首页点击“游园预约”功能。步骤二：点击“预约游园”开始预约。步骤三：在列表中选择您要预约的公园，点击“预约游园”。步骤四：选择“入园时间”，确定后点击“确定预约”。步骤五：入园时，在“预约记录”中找到您的预约凭证并出示，同时请出示绿色健康码。 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/9bf793c7gy1gcegufwk0jj20m83dgjz9.jpg,http://ww4.sinaimg.cn/large/9bf793c7gy1gcegt52m8pj20u00lzgod.jpg",无,无,2020-03-01 15:37,微博 weibo.com,11,2,11
IwAL08yhk,#健康科普汇#【（视频版）中国疾控中心提示：办公场所和公共场所 空调通风系统运行管理指南】@健康江苏微博 疾控科普的微博视频  ,,无,无,无,2020-03-01 14:44,微博视频号,0,0,0
IwAFG18RR,【3月2日起市妇幼保健院全面推行门诊预约就诊】为避免出现交叉感染，保障妇女儿童、家属和医务人员的安全，确保医院有序恢复门诊，从3月2日（下周一）开始，医院除了发热门诊、呼吸内科和急诊外，其他所有门诊都将推行预约诊疗，取消现场挂号和加号，市民可以通过以下六种方式进行预约挂号：1.“常州妇幼智慧门诊服务中心”公众号微信搜寻“常州妇幼智慧门诊服务中心”或扫码进入具体操作流程：根据提示绑定社保卡或其他诊疗卡，进入“我要就诊”界面，点击在线挂号，选择就诊科室、医生、日期、时段，确认预约，预约成功后就诊当日到院取号或在线取号就诊。2.“常州市妇幼保健院”微信公众号微信搜寻“常州市妇幼保健院”或扫码进入具体操作流程：根据提示绑定社保卡或其他诊疗卡，进入“就诊服务”界面，点击在线挂号，选择就诊科室、医生、日期、时段，确认预约，预约成功后就诊当日到院取号或在线取号就诊。3.“常州人社”APP下载“常州人社”APP，进入首页。点击“线上挂号”，选择“常州市妇幼保健院”，选择科室，按专家预约或按日期预约，预约就诊日期，确认预约后支付，即可完成预约步骤。4.现场预约门诊大厅一楼智慧门诊服务中心窗口预约。5.电话预约：951696.出院复诊预约由病区医生在医生工作站进行复诊预约，预约时间：一个月内。 ,,无,无,无,2020-03-01 14:31,微博 weibo.com,11,1,4
IwyWWsyn0,【市场监管部门查获各类口罩30815只】疫情防控期间，包括医用口罩、抗流感病毒药品等在内的疫情防控需求重点物资，成为市场监督部门的监管重点，截至2月28日，全市各级市场监督部门共出动检查人员20808人次，检查企业10392家次，重点对医用防护服、医用口罩、抗流感病毒药品等进行监督检查，确保疫情防控期间用药用械质量安全。http://t.cn/A67MmQ7I ,,无,无,无,2020-03-01 10:08,微博 weibo.com,2,0,2
IwyrgDSgG,【#三月#，你好；#春天里的常州#，你好。】你三月份最大的心愿是什么？  原图 ,,http://wx1.sinaimg.cn/large/9bf793c7gy1gce5313u3dj20u00gv0wc.jpg,无,无,2020-03-01 08:50,微博 weibo.com,21,3,28
Iwq6rtezT,【江苏继续推迟学生返校】根据中央应对新冠肺炎疫情工作领导小组有关会议精神，结合我省疫情防控实际，经研究，全省各级各类学校（高校、中小学、中职学校、幼儿园、托育机构，下同）继续推迟学生返校。各级各类学校要按照省教育厅有关要求，规范开展线上教育教学活动。严禁培训机构在学生返校前开展线下培训活动。具体返校时间，将视疫情防控情况，经科学评估后确定，提前一周向社会公布。各级教育行政部门和各级各类学校要据此制定实施计划，开展相关工作。 ,,无,无,无,2020-02-29 11:37,360安全浏览器,7,0,1
IwpPn412X,【2月28日江苏无新增新型冠状病毒肺炎确诊病例】2020年2月28日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例13例。截至2月28日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例112例。其中，轻型病例9例；普通型病例100例；重型病例1例（南京市1例）；危重型病例2例（无锡市1例、连云港市1例）。出院病例519例。其中，南京市58例、无锡市48例、徐州市71例、常州市48例、苏州市62例、南通市37例、连云港市35例、淮安市55例、盐城市27例、扬州市19例、镇江市10例、泰州市37例、宿迁市12例。目前，江苏省追踪到密切接触者12633人，已解除医学观察12443人，尚有190人正在接受医学观察。 ,,无,无,无,2020-02-29 10:55,360安全浏览器,4,0,2
IwjFX4QXj,【常州专家帮助综合医院普通病区“转型”隔离病区】 常州专家武汉“爆改”病区防院内感染    一张病区改建图纸，在最短的时间内，用最易行的办法，在武汉一家非传染病专科医院中，改出“三区两通道”的专业传染病隔离病区，从而有效预防了院内交叉感染的发生，更好地保护了医患双方的生命安全。     改建病区的意见出自常州市第二人民医院院感管理科科长杨乐所在的院感专家组。2月1日下午，杨乐作为江苏省第二批援鄂医疗队成员，以党员突击队的身份率先进入江夏区第一人民医院，进行进驻前的各项风险排查。    “医院感染防控与医院建筑布局息息相关，没有好的设计和规划，就会为医院感染的发生埋下隐患。”杨乐说，“江夏区第一人民医院是一所拥有1100张床位的三级综合医院，我们对接的3个病区，此前并无传染病的收治经验，从基础设施到日常流程都存在不少风险。如何在这样一所医疗机构里开设传染病隔离病区，如何通过对现有条件的改造，让进一线的队员们从环境、流程上洁污分离，避免院内感染，是当时亟待解决的难题。”    经过实地考察、组织讨论，在遵照国家相关技术指南要求并结合医院目前建筑布局的前提下，杨乐牵头做出了改建方案。方案通过三个隔断分割出清洁区、缓冲区、污染区三类功能区域，改变了医护人员工作区直通整个病区的全污染状态，使医护人员可以在不同的区域做好个人防护准备。    基础打好了，杨乐开始将院感防控的意识贯彻到日常工作的细节之中。    “以往下班时，我们都是在污染区同时脱防护用品的，现在改成单人轮流进入，就大大降低了交叉感染的风险。再比如，以前病区的空气消毒并没有定向，现在我们知道要从清洁区吹向污染区。”江夏区第一人民医院胸外科病区护士长韩群说，规范就在这些细节中，做到位了，院内感染的几率自然就降低了。    在这场新冠肺炎疫情的防控阻击战中，常州院感专家展现的“真功夫”，成为前线排除隐患的“大杀器”，得到了临床医护人员的大力拥护。 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/9bf793c7gy1gccbwmvlgsj20fk0azndo.jpg,http://ww2.sinaimg.cn/large/9bf793c7gy1gccbwmc78qj20fk0mcq4j.jpg",无,无,2020-02-28 19:15,专业版微博,16,1,1
IwjEjrE6O,【常州市召开全市安全生产工作专题会议 部署疫情防控期间复工复产安全生产工作】今天（28日）上午，我市召开全市安全生产工作专题会议，研究部署疫情防控期间复工复产安全生产工作。市委常委、常务副市长曹佳中出席会议并讲话。省安全生产第四督导组成员列席会议。        会议指出，当前各类生产经营单位集中复工复产，疫情防控和安全防范压力交织叠加，全市上下要提高政治站位，坚决扛起安全生产的责任担当；加强服务指导，落实落细企业复工复产安全措施；采取有力措施，扎实推进安全生产专班工作；突出重点领域，精准防控重大安全风险；扎实有效开展安全生产专项整治工作，构建安全生产长效、常态机制，推动市域安全治理体系和治理能力现代化。 尤其要以防控系统性安全风险为重点，完善和落实安全生产责任和管理制度，建立安全隐患排查和安全预防控制体系，加强源头治理、综合治理、精准治理，着力解决危险化学品安全生产领域的基础性、源头性、瓶颈性问题，强化危险货物道路运输全链条安全管理，进一步健全和完善各项管理制度。       会上，市安委办部署近期全市安全生产工作。市公安局、市住建局、市交通运输局围绕推进安全生产专项整治工作进行交流发言。 ,,无,无,无,2020-02-28 19:11,专业版微博,1,0,0
