微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwDS03AgL,#晚安#疫情终究会散去，樱花依旧会盛开。春天来了，一切都会好起来的！睡前来告诉小布，你的三月心愿是什么？  ,,无,无,无,2020-03-01 22:40,微博 weibo.com,34,1,40
IwDou4L6o,【4G信号满格，网课不卡了！“雪山顶上找网上课”的藏族女生向社会致谢，称想成为一名医生】2月24日，一条“95后女生雪山顶上找网上课”的8秒钟短视频引发网友高度关注。2月27日晚，记者连线当事人斯朗巴珍了解到，在社会各界的关心和帮助下，当天12时30分，女孩所在的西藏昌都市卡若区埃西乡岗村下辖的波格村(自然村)的它青基站正式开通，4G信号满格，斯朗巴珍终于可以足不出户就顺利完成在线课程了。2月29日晚，斯朗巴珍给记者发来感谢信，向社会表达感谢，也表示自己“会加油学好功课，努力成为一名优秀的医生，救死扶伤，拯救更多的病人。”http://t.cn/A67ixqAL  http://t.cn/A67ixM7I ,,无,无,无,2020-03-01 21:27,微博视频号,23,2,6
IwCZ5EKT3,【@ 全体大中小学生：#新学期何时开学最新消息#来了】①原则上继续推迟开学；②制定具体返校方案时，可安排高三、初三等毕业班学生先返校；③原则上疫情得到有效控制前大学生不返校、高校不开学；④医学专业和医学类院校学生、毕业年级学生可先返校；⑤在线教学不能“一刀切”…详戳↓↓转发周知！ @人民日报 [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/d58123f2gy1gcep53gjkvj20il0osdhp.jpg,http://ww3.sinaimg.cn/large/d58123f2gy1gcep53mqknj20il0mdq5g.jpg,http://ww1.sinaimg.cn/large/d58123f2gy1gcep53i14jj20il0mdac1.jpg,http://ww2.sinaimg.cn/large/d58123f2gy1gcep53hpbij20il0mdjtu.jpg,http://ww4.sinaimg.cn/large/d58123f2gy1gcep53k1kjj20il0md75y.jpg,http://ww2.sinaimg.cn/large/d58123f2gy1gcep53ies9j20il0mdtb0.jpg,http://ww3.sinaimg.cn/large/d58123f2gy1gcep53lvr2j20il0mdwgr.jpg,http://ww4.sinaimg.cn/large/d58123f2gy1gcep53mkn5j20il0mdjsq.jpg,http://ww3.sinaimg.cn/large/d58123f2gy1gcep53pd86j20il0md0uz.jpg",无,无,2020-03-01 20:24,微博 weibo.com,8,2,3
IwC3xAG59,【护士长同款“限量包”上线，包上logo足够大气！】军队支援湖北医疗队队员、泰康同济医院感染八科叶护士长用无污染的破损隔离衣，为队员们制作了一款独家限定包包。有了这样一批包包，我们相信疫情一定会很快过去，毕竟，“包”治百病！中国军视网的微博视频  ,,无,无,无,2020-03-01 18:03,微博视频号,11,0,7
IwBMckbYK,【战“疫”中的“房车书记”】在淮安市淮安区施河镇双溪村，村党支部书记徐庆杨将自己的面包车进行了改装，把后排座放倒，铺上棉被，做成了他和夜间值守人员的轮流休息室 。从1月26日起，徐庆杨已坚守在这个“房车”防控点三十多天，吃住都在车上。战“疫”中的“房车书记”  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/d58123f2gy1gcejnqdzgqj20rs0ie4hq.jpg,http://ww3.sinaimg.cn/large/d58123f2gy1gcejnqhfcpj20rs0j2dw8.jpg,http://ww2.sinaimg.cn/large/d58123f2gy1gcejnqj17ij20rs107kjl.jpg,http://ww1.sinaimg.cn/large/d58123f2gy1gcejnqgjh4j20rs0gnk8b.jpg,http://ww3.sinaimg.cn/large/d58123f2gy1gcejnqjfs7j20rs0fj19c.jpg,http://ww1.sinaimg.cn/large/d58123f2gy1gcejnqygoyj20rs0hztsv.jpg,http://ww2.sinaimg.cn/large/d58123f2gy1gcejnr095uj20rs0gktsp.jpg,http://ww2.sinaimg.cn/large/d58123f2gy1gcejnr0wn5j20rs0h5trc.jpg,http://ww1.sinaimg.cn/large/d58123f2gy1gcejnran2nj20rs0i4tr0.jpg",无,无,2020-03-01 17:20,微博 weibo.com,28,1,6
IwBuWmGz0,【#夺取双胜利 我们在行动# | 复工复产，江苏聚力向前】当前，新冠肺炎疫情防控工作到了关键阶段，全国各地科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。时不我待，随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力、聚力向前，蹄疾步稳推进经济发展。今天，我们聚焦南通和连云港的复工情况→http://t.cn/A67JGWiH 原图 ,,http://wx2.sinaimg.cn/large/d58123f2gy1gceil2qk43j20hs0vkdmf.jpg,无,无,2020-03-01 16:37,微博 weibo.com,30,1,7
IwB3mlsjQ,【春耕，在24小时里的每一秒！】人勤春早！当下，淮安春耕备耕一片火热景象，稳产保供，为全省全国“粮仓”作出更大贡献。（融媒体记者：何渊 陆春涛 干石泉 通讯员：史志荣 丁学艺）  淮安发布的微博视频  ,,无,无,无,2020-03-01 15:29,微博视频号,17,4,1
IwAHhjRCZ,【97岁高龄的新冠肺炎患者康复出院】2月29日，一名97岁高龄的新冠肺炎患者康复出院老人说：“我能够战胜病毒，其他人也可以。”@ CCTV4  CCTV4的微博视频  ,,无,无,无,2020-03-01 14:35,微博视频号,17,0,6
IwzSoF655,#全民战疫#【#爱你在一米之外#】一米，是为自己、为他人赢得健康防护的有效保障。爱你，在一米之外。@新华网 新华网的秒拍视频  ,,无,无,无,2020-03-01 12:30,微博视频号,6,5,0
IwznX43ca,【江苏无锡肺移植团队成功进行全球首例新冠肺炎病例双肺移植手术 】2月29日，在江苏省卫健委、省防控医疗专家全力支持下，“我囯肺移植第一人”、著名肺移植专家陈静瑜教授团队历经5个小时鏖战在无锡成功进行全球首例新冠肺炎病例双肺移植手术。业内专家认为，这例新冠肺炎危重症病例肺移植救治手段对降低死亡率有较大意义。@新华日报 http://t.cn/A67Mg0tK ,,无,无,无,2020-03-01 11:15,微博 weibo.com,15,0,9
Iwz7di5n9,【转发辟谣！#新冠肺炎最新谣言汇总#】钟南山“预测”各地解除限制时间？温州存在变异病毒？不戴口罩驾车扣6分？…这些说法你听过吗？统统都是假的↓↓不信谣，不传谣，转发辟谣！ @人民日报  [组图共14张] 原图 ,,"http://ww1.sinaimg.cn/large/d58123f2gy1gce8199yo8j20j60jpdia.jpg,http://ww4.sinaimg.cn/large/d58123f2gy1gce8197aouj20j60gfjtb.jpg,http://ww4.sinaimg.cn/large/d58123f2gy1gce819em6nj20j60ijwgt.jpg,http://ww3.sinaimg.cn/large/d58123f2gy1gce819f2n9j20j60jpmz9.jpg,http://ww1.sinaimg.cn/large/d58123f2gy1gce8197nzrj20j60edabj.jpg,http://ww4.sinaimg.cn/large/d58123f2gy1gce819fibpj20j60ibjt9.jpg,http://ww2.sinaimg.cn/large/d58123f2gy1gce819c1ufj20j60fj0u4.jpg,http://ww1.sinaimg.cn/large/d58123f2gy1gce819d9qzj20j60iv0vc.jpg,http://ww1.sinaimg.cn/large/d58123f2gy1gce819fhsqj20j60jujtu.jpg,http://ww3.sinaimg.cn/large/d58123f2gy1gce819karzj20j60ixjtn.jpg,http://ww1.sinaimg.cn/large/d58123f2gy1gce819jiuxj20j60gkwg6.jpg,http://ww2.sinaimg.cn/large/d58123f2gy1gce819kpiaj20j60i80v2.jpg,http://ww1.sinaimg.cn/large/d58123f2gy1gce819ldzvj20j60hlgna.jpg,http://ww1.sinaimg.cn/large/d58123f2gy1gce819m0u5j20j60jqwgj.jpg",无,无,2020-03-01 10:33,微博 weibo.com,5,4,7
Iwz0rmSvZ,【今天，淮安又有2名新冠肺炎患者解除隔离并出院】3月的第一天淮安2名新冠肺炎患者病毒核酸检测连续两次以上阴性，解除隔离并出院。患者一　　女，42岁，淮安区人，2月13日入市第四人民医院隔离治疗，综合其症状和新冠病毒检测结果，确诊为新冠肺炎患者。患者二　　男，49岁，淮安区人，2月13日入市第四人民医院隔离治疗，综合其症状和新冠病毒检测结果，确诊为新冠肺炎患者。 ,,无,无,无,2020-03-01 10:17,微博 weibo.com,17,3,16
