微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwDNWiPYe,#夜思#三月已至，春意渐浓。这是个不一样的三月，可我们都相信，美好会如约而至，樱花会照常盛开。坚持住，待胜利，我们再好好看这欣欣向荣的大地，好好拥抱这生机勃勃的，崭新的春天。晚安！  ,,无,无,无,2020-03-01 22:30,微博 weibo.com,15,5,13
IwC3yu2TU,#民生直达#【今天起，一批新规将影响你我生活】#三月#一日，一大波新规来袭：①禁止人肉搜索、流量造假等违法活动②房贷利率“重新定价”，房贷族迎来选择题③江苏出台全国首个地方缺陷消费品召回管理办法④南京试点机动车检验标志电子化…戳图了解↓转发周知！（@江苏新闻）  ,,无,无,无,2020-03-01 18:03,微博 weibo.com,7,3,2
IwBO8jzjq,#江苏驰援湖北# 【江苏捐赠的正压通气头罩首次在黄石使用】由江苏捐赠的正压通气头罩在黄石新冠肺炎危重症患者救治中首次使用。3月1日，江苏援黄医疗队医护人员对一名80岁男性新冠肺炎危重症患者实施气管切开术。3位医护人员均使用了防护等级更高的正压通气头罩。东南大学附属中大医院副院长、江苏援黄石医疗支援队医疗救治及专家组组长黄英姿介绍，正压通气头罩可以在佩戴者的头肩部形成一个正压环境，外部气体和病毒都无法进入，佩戴者呼吸的都是经过过滤的新鲜空气。http://t.cn/A67JJrdg ,,无,无,无,2020-03-01 17:25,微博 weibo.com,15,2,4
IwBEHbWvL,#共同抗疫#【江苏成功开展#全国首例新冠肺炎转阴患者双肺移植手术#】2月29日，著名肺移植专家、南京医科大学附属无锡市人民医院副院长陈静瑜教授团队，在无锡成功开展全国首例新冠肺炎转阴患者双肺移植手术。目前，患者(男性，59岁)双肺氧合功能良好，生命体征平稳。下一步还将开展抗排异、抗感染等后续治疗。http://t.cn/A67xT5Ko ,,无,无,无,2020-03-01 17:01,微博视频号,10,5,3
IwBn1eOuJ,【#夺取双胜利 我们在行动# | 复工复产，江苏聚力向前】当前，新冠肺炎疫情防控工作到了关键阶段，全国各地科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。时不我待，随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力、聚力向前，蹄疾步稳推进经济发展。今天，我们聚焦南通和连云港的复工情况→ http://t.cn/A67JGWiH  #复工复产进行时# 原图 ,,http://wx1.sinaimg.cn/large/a5f5fd2agy1gcei0zdk91j20hs0vkqds.jpg,无,无,2020-03-01 16:18,无,4,4,1
IwB11g7mt,"#江苏驰援湖北#【#江苏泗阳向武汉捐赠50吨速冻水饺#：""希望能温暖武汉人民""】2月28日下午，宿迁泗阳县捐赠的50吨速冻水饺装车运往武汉，价值100万元。这批水饺足足装满了四辆集装箱冷冻车，是当地一家企业复工后加班加点生产的，共5000件。义务参与运输的司机表示，希望我们的一车水饺能温暖武汉人民！http://t.cn/A67MDYy2 ",,无,无,无,2020-03-01 15:24,微博视频号,36,6,2
IwATj9Kct,#便民提示#【明起南京两条有轨电车线路将调整】根据南京市关于做好复工复产工作的相关要求，结合市民出行需求及疫情防控的现状，南京有轨电车自2020年3月2日起，将对南京有轨电车两条线作出运营调整，具体戳图→  原图 ,,http://wx3.sinaimg.cn/large/a5f5fd2agy1gcefnlf57dj20jv0a80sy.jpg,无,无,2020-03-01 15:05,微博 weibo.com,3,0,0
IwAtJubqm,#市县看点##共同抗疫#【3月3日起，#游玄武湖需要实名预约#】疫情防控期间，为进一步保障市民、游客游园安全，维护游园秩序，2020年3月3日起，南京玄武湖景区全面实施实名制登记入园，景区实名制预约小程序同步上线正式运行。实名制登记分为线上预约和现场实名登记两种方式。线上预约入口为“南京玄武湖景区”微信公众号，“旅游服务”模块中点击“玄武湖预约”，每人一次最多预约五人；现场实名登记需提供身份证等有效证件。 原图 ,,http://wx4.sinaimg.cn/large/a5f5fd2agy1gced3oalnlj20c80qhal4.jpg,无,无,2020-03-01 14:02,微博 weibo.com,3,0,3
IwAafwwBC,#江苏驰援湖北#【小表格大作用！#江苏经验提高黄石重症患者治愈率#】挂职黄石市中医医院副院长的江苏省人民医院主任医师姚欣刚来时发现，因疫情突然，很多医生是从全市抽调来的，对疾病的认识各有不同。如何让大家高效统一地收集更多有价值信息？他带来江苏团队的《新冠肺炎重症患者住院评估表》，提高了患者治愈率。http://t.cn/A67MBNTL ,,无,无,无,2020-03-01 13:14,微博视频号,16,5,2
IwzRA6wwq,#复工复产进行时#【#邮政业完成八成复工复产任务#，承运、寄递疫情防控物资累计超4万吨】国家邮政局公布消息，截止2月28日，全国邮政行业复工人员达246万人，复工率达90.2%，快件日揽收量和投递量分别达到1.62和1.6亿件，复产率分别达到81%和80%，超额完成第二阶段复工复产任务目标。同时，邮政、快递企业继续全力保障对武汉等疫情重点地区的应急救援物资和人民群众日常基本生活物资的运输和寄递服务，截至2月28日累计承运、寄递疫情防控物资4.15万吨。（@人民日报） ,,无,无,无,2020-03-01 12:28,微博 weibo.com,25,2,0
