微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwE69ELXd,【南京经开区1名低热病人送市公卫中心收治】2月29日，南京经济技术开发区某企业工人马某某，女，陕西凤翔人，因头痛低热等症状且同一车间有3名已解除14天隔离期的湖北籍员工，马某某被送至市公卫中心收治。同时，按照“四早”原则对相关密切接触者采取了集中留观措施。据了解，3月1日该患者以及相关密切接触者体温均正常，新冠病毒核酸检测为阴性。 原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62ly1gceu6460t0j216g0rmqqc.jpg,无,无,2020-03-01 23:14,无,650,42,253
IwDVHCo0U,｜三月·你好｜早春细雨，南京莫愁湖公园，水边柳枝新芽嫩绿，木瓜海棠已是火红一片。三月，珍惜世间所有的温暖，步履不停。这场战“疫”我们终将胜利！#最南京，全民拍# 摄影：@微风吹淡的蓝。  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62gy1gcetbhjpi2j20p918wala.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gcetbik8stj20p918w12t.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gcetbjnebbj20p918wqg2.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gcetbkn2b2j20oy17h16r.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gcetblfo1uj21261264al.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gcetbgipwjj20nh15qwkp.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gcetblx87ej20p918wqbr.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gcetbmoctsj20od17cahd.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gcetbnaz8ij20p918wqap.jpg",无,无,2020-03-01 22:49,无,110,41,17
IwDzEEZk0,一部相当震撼的短片：《已知宇宙》，豆瓣8.9分！短短6分钟的视频带你遨游已知的宇宙，体会宇宙浩瀚之美。在宏大到令人惊叹的宇宙里，我们只是沧海一粟…（by：@电影士）电影士的微博视频  ,,无,无,无,2020-03-01 21:54,微博视频号,102,98,11
IwDfPpPhz,这样的南京，好看吗？来源：@蓝鲸无人机飞行大队-蓝鲸大张 #最南京，全民拍#赛博朋克的南京  ,,无,无,无,2020-03-01 21:06,微博视频号,199,41,31
IwCRqwnYS,【南京，快进ing……】2020年的冬天有些特别，疫情之下，南京仿佛被按下了“暂停键”。但是，为了我们更好的生活，各行各业的他们按下了“快进键”！因为有阴霾，我们才会更珍惜阳光。愿我们都好好生活，珍惜身边人，徜徉这珍贵人间  南京发布的微博视频  ,,无,无,无,2020-03-01 20:05,微博视频号,314,627,68
IwCincRXQ,#为什么现在不能开学？# 90后大学生“九磅十伍便士”用电脑模拟制作的视频告诉你答案！青蜂侠Bee的秒拍视频  ,,无,无,无,2020-03-01 18:39,微博视频号,137,34,40
IwBPc9UXg,【5人出院！】今天下午，又有5名新冠肺炎确诊患者治愈出院，截至目前南京共有63名确诊患者出院。  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62gy1gcek14h0iqj21y11aoqjn.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gcek17ur1pj22ox1sm7wh.jpg",无,无,2020-03-01 17:27,无,439,30,108
IwBGtsbt2,【听！宁汉11所高校“云合奏”】河海大学管弦乐团发起，邀请东大、南理工、中国药大、南医大、南邮、南林、南工、南农9所南京高校和华中大、武大2所武汉高校的乐团成员线上演奏，演绎武汉民谣《汉阳门花园》和江苏民歌《茉莉花》两座同气连枝的城市在一场特殊的“云合奏”中相遇……http://t.cn/A67fCXuH ,,无,无,无,2020-03-01 17:06,微博视频号,252,72,43
IwBsG07JR,【#夺取双胜利 我们在行动# | 复工复产，江苏聚力向前】当前，新冠肺炎疫情防控工作到了关键阶段，全国各地科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。时不我待，随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力、聚力向前，蹄疾步稳推进经济发展。今天，我们聚焦南通和连云港的复工情况→ http://t.cn/A67JGWiH  #复工复产进行时# 原图 ,,http://wx1.sinaimg.cn/large/7cfe0d62gy1gceifhacivj20hs0vktjk.jpg,无,无,2020-03-01 16:32,无,113,7,17
IwAR5t5HQ,【患者出院被赠盐水鸭 期待明年南京相聚】武汉同济医院光谷院区今天上午一对老夫妻出院了，在他们离开医院之前，收到了驰援武汉一线的南京医疗队二队医护人员赠送给他们的一只盐水鸭。临别前，医护人员告诉两位老人，武汉有周黑鸭，南京有桂花鸭，两座城市同饮一江水，期待疫情结束，期待明年在南京相聚！ [组图共4张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62gy1gcefqoytyqj20m80gowfp.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gcefqobuw6j20m80gojsn.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gcefqq0x2yj20m80go76a.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gcefqqvvsuj20m80gowg0.jpg",无,无,2020-03-01 14:59,无,2020,195,190
