微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwDg9ze2H,交通运输部：全面暂停离汉、离鄂的网约车、顺风车业务           交通运输部今日发布《关于严格落实网约车、顺风车疫情防控管理有关要求的通知》，通知要求：全面暂停离汉、离鄂的网约车、顺风车业务。各平台公司要贯彻落实继续实行严格的离汉离鄂通道管控措施，严格按照湖北省新型冠状病毒感染肺炎疫情防控指挥部相关规定，全面暂停离汉、离鄂的网约车、顺风车业务，坚决防止疫情通过网约车、顺风车从武汉、从湖北输出。 全面暂停进出京跨城网约车、顺风车业务。首都安全稳定直接关系党和国家工作大局。请各平台公司严格按照首都严格进京管理联防联控协调机制相关规定，全面暂停进出京的跨城网约车、顺风车业务，坚决防止疫情通过网约车、顺风车输入北京，全力服务首都疫情防控大局。 来源：央视新闻 ,,无,无,无,2020-03-01 21:06,专业版微博,3,2,0
IwDfpptJu,下周天气云系变化为主，早晚寒凉在阴雨天气中送别二月，迎来三月。今天白天我市天空依旧比较阴沉，时不时有细雨飘落，体感不是太舒适。不过，从明天开始，这样的“坏”天气暂时会消停几天。根据市气象台最新气象资料分析，未来一周我市以云系变化为主，其中6日和8日的夜间各有一次降水过程。具体预报如下：2日多云，3日多云到阴，4日多云，5日晴到多云，6日多云转阴有小雨，7日阴转多云，8日多云转阴有雨。风力方面，下周风向多变，风力一般为陆上3-4级、沿江江面4-6级、沿海海面5-7级。其中，6日受入海高压后部的影响，最大风力可达陆上4-6级、沿江江面和沿海海面6-7级。气温方面，下周平均气温9℃左右，偏高；最高气温15℃左右，出现在7日白天，最低气温3℃左右，出现在3日早晨。【未来三天天气预报】2日：阴转多云，北到东北风4级左右，气温5℃～11℃;3日：多云到阴，偏东风3-4级，气温3℃～11℃;4日：多云，东北风4级左右，气温5℃～11℃。(合作单位：南通市气象局)来源：南通发布（记者 俞慧娟） ,,无,无,无,2020-03-01 21:05,专业版微博,1,0,0
IwDeUpgQD,南通警方大清查！ 办理不按规定登记承租人信息案件32起2月28日9时至3月1日9时，全市公安机关治安系统和派出所集中开展专项清查行动，共出动警力5000余人，共采集登记流动人口3.2万余人，办理不按规定登记承租人信息案件32起。当前，疫情防控处在最吃劲的关键阶段。2月27日，市公安局决定在全市范围内开展以流动人口为重点的专项清查行动，持续抓好社区防控，深入开展流动人口排查登记，核清涉疫人员底数，严格落实小区和重点行业、单位疫情防控措施，为夺取疫情防控工作全胜奠定扎实基础。2月28日上午开始，全市公安机关组织民警、辅警围绕出租房屋特别是群租房、中小旅馆、网约房等流动人口落脚点，以及火车站、机场、长途汽车站、渡口码头等人员易聚集场所，登记核查流动人口，严格落实管理防控措施，持续抓好小区封闭管理、实有人口管理、行业场所巡查等面上管控工作，严防人员聚集、风险输入，同时深入民爆物品、剧毒和易制爆危险化学品等危险物品生产、储存、运输行业，寄递物流行业，以及运送防疫物资、为复工复产企业提供出行服务的交通运输行业，指导、督促责任单位整改安全风险隐患。据统计，在为期两天的行动中，公安机关新采集登记流动人口32908人，核查注销16137人，核实修改7937人，办理不按规定登记承租人信息案件32起，未发现违规开业经营现象。　“把流动人口登记核查作为清查的重中之重。”市公安局副局长杜松华说，随着企业复工复产加快推进，交通查控措施的撤除，交通运输秩序逐步恢复，社会及社区防控工作面临的压力不断加大，社区作为疫情防控主阵地的作用也更加凸显。接下来，公安机关还将持续开展专项清查行动，最大限度减少流动人口返程带来的风险隐患，跟进防控措施，同时通过清查查找发现工作中的薄弱环节，部署强化易发案部位、场所和时段的巡防力度，配合春季破案会战，压降各类刑事案件回潮。来源：南通发布（文丨记者 张亮 通讯员 苏锦安） ,,无,无,无,2020-03-01 21:03,专业版微博,4,0,0
IwBI8wYU0,【#夺取双胜利 我们在行动# | 复工复产，江苏聚力向前】当前，新冠肺炎疫情防控工作到了关键阶段，全国各地科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。时不我待，随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力、聚力向前，蹄疾步稳推进经济发展。今天，我们聚焦南通和连云港的复工情况→ http://t.cn/A67JGWiH  #复工复产进行时# 原图 ,,http://wx1.sinaimg.cn/large/b9259e9agy1gcejj3mdq5j20hs0vkadx.jpg,无,无,2020-03-01 17:10,HUAWEI P20 Pro,3,1,6
Iwz7A1JAU,关于新冠肺炎的最新判断，一图读懂→来源：央视新闻  原图 ,,http://wx3.sinaimg.cn/large/b9259e9agy1gce83hqxlvj20u03u9wu5.jpg,无,无,2020-03-01 10:34,专业版微博,4,6,0
Iwz0o7rzs,南通市新型冠状病毒肺炎疫情通报（3.1）2020年2月29日0-24时，我市无新增新型冠状病毒肺炎确诊病例。截至2月29日24时，我市累计报告新型冠状病毒肺炎确诊病例40例，其中，普通型病例40例，出院病例37例。确诊病例中，海安市5例（高新区3例、其中出院3例，南莫镇2例、其中出院1例），如皋市7例（长江镇3例、其中出院3例，如城街道3例、其中出院3例，江安镇1例、其中出院1例），如东县3例（栟茶镇3例，其中出院3例），海门市14例（悦来镇2例、其中出院2例，高新区2例、其中出院2例，三厂街道5例、其中出院4例，滨江街道1例、其中出院1例， 海门港新区1例、其中出院1例，开发区2例、其中出院2例，三星镇1例、其中出院1例），启东市3例（吕四港镇2例、其中出院2例，王鲍镇1例、其中出院1例），通州区8例（平潮镇3例、其中出院3例，张芝山镇4例、其中出院3例，金新街道1例、其中出院1例）。目前，共追踪密切接触者1318人，已解除医学观察1301人，尚有17人正在接受医学观察。南通市新型冠状病毒感染的肺炎疫情防控指挥部 2020年3月1日 ,,无,无,无,2020-03-01 10:17,专业版微博,8,4,3
IwywyFbnG,关于仲崇俊等同志任职的通知为支持湖北坚决打赢新冠肺炎疫情阻击战，根据中央统一安排部署，江苏省选派了第二批医疗专家团队对口支援大冶市新冠肺炎疫情防控工作。根据工作需要，经研究决定：仲崇俊同志（南通市第一人民医院党委书记、副院长）挂任大冶市新冠肺炎疫情防控指挥部副指挥长、大冶市人民医院党委第一书记；刘春慧同志（女，南通市第一人民医院护理部副主任）挂任市人民医院护理办公室副主任；严红燕同志（女，南通市第一人民医院神经外科护士长）挂任市人民医院感染管理办公室副主任。中共大冶市委2020年2月29日来源：大冶市融媒体中心  大冶发布 原图 ,,http://wx2.sinaimg.cn/large/b9259e9agy1gce5gcynswj20kk0aemy6.jpg,无,无,2020-03-01 09:03,专业版微博,11,0,7
IwyokmwPh,2月29日江苏无新增新型冠状病毒肺炎确诊病例来源：健康江苏2020年2月29日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例10例。截至2月29日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例102例。其中，轻型病例9例；普通型病例90例；重型病例1例（南京市1例）；危重型病例2例（无锡市1例、连云港市1例）。出院病例529例。其中，南京市58例、无锡市49例、徐州市71例、常州市48例、苏州市64例、南通市37例、连云港市37例、淮安市55例、盐城市27例、扬州市23例、镇江市11例、泰州市37例、宿迁市12例。目前，江苏省追踪到密切接触者12633人，已解除医学观察12503人，尚有130人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。 ,,无,无,无,2020-03-01 08:43,专业版微博,7,1,2
Iwy9Tht9T,截至2月29日24时新型冠状病毒肺炎疫情最新情况来源：国家卫生健康委员会官网2月29日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例573例，新增死亡病例35例（湖北34例，河南1例），新增疑似病例132例。当日新增治愈出院病例2623例，解除医学观察的密切接触者8620人，重症病例减少299例。截至2月29日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例35329例（其中重症病例7365例），累计治愈出院病例41625例，累计死亡病例2870例，累计报告确诊病例79824例，现有疑似病例851例。累计追踪到密切接触者660716人，尚在医学观察的密切接触者51856人。湖北新增确诊病例570例（武汉565例），新增治愈出院病例2292例（武汉1675例），新增死亡病例34例（武汉26例），现有确诊病例32959例（武汉27700例），其中重症病例7107例（武汉6393例）。累计治愈出院病例31187例（武汉19227例），累计死亡病例2761例（武汉2195例），累计确诊病例66907例（武汉49122例）。新增疑似病例64例（武汉50例），现有疑似病例646例（武汉393例）。累计收到港澳台地区通报确诊病例144例：香港特别行政区95例（出院33例，死亡2例），澳门特别行政区10例（出院8例），台湾地区39例(出院9例，死亡1例)。 ,,无,无,无,2020-03-01 08:07,专业版微博,3,0,0
Iwy7c4QVi,大中小学啥时开学？患者治愈后，做啥康复治疗？权威回应来了！来源：中国政府网  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/b9259e9agy1gce3nkxvb5j20hs0f9jsi.jpg,http://ww2.sinaimg.cn/large/b9259e9agy1gce3nleaonj20hs7dqhdl.jpg",无,无,2020-03-01 08:01,专业版微博,3,2,1
