微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwE07ihjT,#晚安徐州#【再提醒一下！二级响应≠放松警惕】0新增≠0风险！大徐要继续提醒各位：时刻绷紧个人防护这根弦，将安全防疫进行到底！不获全胜决不轻言成功！大家早点休息，晚安~ 熬夜会导致免疫力下降，慎之！（编辑X5598）  [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/d17838b9gy1gceqbtp2ikj20u01hcn0h.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gceqbtqpvbj20u01hcju9.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gceqbtnwulj20u01hc41c.jpg",无,无,2020-03-01 23:00,微博 weibo.com,24,5,10
IwDpAi2nM,#徐州生活#【全省首单活体抵押贷款发放，1000头“二师兄”帮养殖户借来80万！】徐州沛县的吕师傅养了1109头生猪，受疫情影响，饲料供应等资金缺口较大。沛县农商行得知后，以“活体抵押+农业保险”组合担保方式，用生猪作抵押，提供80万元贷款，并调低利率和担保费率，为吕师傅减少了年度利息1.87万元。（编辑X5598）http://t.cn/A67JyqL3 ,,无,无,无,2020-03-01 21:30,微博视频号,12,2,3
IwDbz0342,#两手抓 两手硬# 【总投资5000万元！打造一个万亩产业园】3000亩甘薯主题农业旅游基地，10000亩甘薯新技术示范、推广基地，2000亩“三乡工程”示范基地……到2022年末，徐州将建成一个万亩甘薯产业园。2月27日，贾汪区与徐州市农业科学院签订《徐州甘薯产业园共建协议》。这是疫情防控期间，双方共同启动的重大产业项目。（编辑X5598）#阻击疫情 徐州在行动# [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/d17838b9gy1gceq177seij20jj0g4myk.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gceq179zv9j20j90ibgo2.jpg",无,无,2020-03-01 20:55,微博 weibo.com,6,2,4
IwCP3lOY9,#阻击疫情 徐州在行动# 【张忠原：战“疫” 在垃圾填埋场】这里，同样是战“疫”前线；这里，每天要处理来自徐州各小区的近千吨垃圾……环卫工人张忠原默默坚守在远离市区的雁群垃圾填埋场，他说，一线的环卫工人每天直接与垃圾打交道，接触到病毒的可能性比常人高，但他们不能退缩。（编辑X5598）Via.徐视融媒 http://t.cn/A67izcGY ,,无,无,无,2020-03-01 20:00,微博视频号,11,3,1
IwCvf1MGU,【#夺取双胜利 我们在行动# | 复工复产，江苏聚力向前】当前，新冠肺炎疫情防控工作到了关键阶段，全国各地科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。时不我待，随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力、聚力向前，蹄疾步稳推进经济发展。今天，我们聚焦南通和连云港的复工情况→http://t.cn/A67JGWiH 原图 ,,http://wx3.sinaimg.cn/large/d17838b9gy1gcen0y61cjj20hs0vkdmf.jpg,无,无,2020-03-01 19:11,微博 weibo.com,11,2,3
IwCqOtRop,#“助力疫情防控，奉献网络力量”大家谈# 消毒餐具需要多久？回家后用挂烫机对衣服熨烫能消毒吗？有些患者出院后又检测出阳性，他们会传染人吗？我居住的县被定为低风险了，出门还用戴口罩吗？日前，中国政府网联合健康中国推出疫情防控知识库，以下为部分问答。（编辑X5598） http://t.cn/A67J3lnG ,,无,无,无,2020-03-01 19:00,微博 weibo.com,4,5,1
IwBPIpmcu,#阻击疫情 徐州在行动#【庄兆林检查我市特殊场所疫情防控工作】3月1日上午，市长庄兆林到江苏省彭城监狱、市公安局监管中心和市社会福利院等特殊场所检查疫情防控工作。 ① 在彭城监狱指挥中心，庄兆林详细了解值班值守、消毒消杀等各项防控措施落实情况，并与监区内的一线干警通话，代表市委、市政府向值守在一线的民警表示敬意和慰问。他说，监狱作为特殊监管场所在疫情防控时期责任重大，要加强干警队伍管理，严格执行封闭执勤备勤制度，把各项防疫措施不折不扣落实到位，坚决阻断疫情输入渠道。 ② 徐州市公安局监管中心是集看守所、拘留所、戒毒所于一体的监管场所。庄兆林来到该中心实地查看各项防控措施落实情况，看到体温测量、消杀措施严格到位，重点区域及时有效采取阻断措施时给予充分肯定。他指出，当前疫情防控到了最吃劲的关键阶段，形势依然复杂严峻，要坚决克服麻痹思想、厌战情绪、侥幸心理、松劲心态，毫不放松抓紧抓实抓细各项防控工作。要落实好一线干警以及在押人员每日体温检测措施，严格新收押人员核酸检测，切实阻断各类输入风险。要加大防疫物资保障力度，合理安排工作时间，在严格落实封闭管理、值班值守等制度的同时，关心关爱一线干警的身体健康，确保大家始终以旺盛的战斗力投入到疫情防控工作中。 ③ 在市社会福利院，庄兆林详细了解老人、儿童的饮食起居，工作人员的工作安排、防控措施落实等情况。他指出，社会福利院的老年人和儿童作为特殊群体，都属易感人群。要严而又严、细而又细、实而又实地落实封闭管理制度，务必把防输入放在第一位，禁止人员流动。社会福利院作为特殊场所，市各相关部门和属地政府要落实管理责任，及时堵塞漏洞，做好物资保障，切实筑牢特殊场所疫情防控的坚固防线。（编辑X5598） [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/d17838b9gy1gcek0koajyj216r0u04qq.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gcek0lifg2j218a0u0x6p.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gcek0mbr04j21830u0hdu.jpg",无,无,2020-03-01 17:28,微博 weibo.com,9,4,3
IwBv3oRSw,#徐州天气# 【羽绒服别急着收！下周低温跌回零下！】又有冷空气要来啦！根据气象部门的预报，3月2日，冷空气专列就将从东北发车，预计3月3-4日将到达徐州，届时最低气温又将重回零下，还没收进衣柜的羽绒服估计又要派上用场了。根据市气象台的预报，3月2日第二股冷空气专列将开始启动，预计3月3日影响力显现，届时中东部大部地区气温将下降4-5℃，局地降温6℃以上，长江以北有4-5级偏北风，其中徐州地区的最低气温也将跌至零下。 原图 ,,http://wx1.sinaimg.cn/large/d17838b9gy1gce85y91yvj20u00k0tho.jpg,无,无,2020-03-01 16:38,微博 weibo.com,12,3,7
IwB4Uls89,#阻击疫情 徐州在行动# 【当前，需要徐州人的“倔强”】当前疫情形势依然严峻复杂，防控正处在最吃劲的关键阶段。面对疫情新形势，全体徐州市民以徐州人特有的“倔强”，仍然坚守在疫情防控的第一线。 徐州  显示地图 原图 ,,http://wx4.sinaimg.cn/large/d17838b9ly1gcegqgq3qjj20k0bhw1ky.jpg,无,#阻击疫情 徐州在行动#,2020-03-01 15:33,HUAWEI P30,23,2,6
IwANfAp5W,#阻击疫情 徐州在行动# @徐州人，待到山花烂漫，人间皆安，我们再欢聚！  [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/d17838b9gy1gcefh8jdw8j20u01hcnot.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gcefh81mynj20u01hckiv.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gcefh84203j20u01hc4qe.jpg",无,无,2020-03-01 14:50,微博 weibo.com,15,2,3
