微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwDUL8QjL,【科普】乘公交、上厕所时尽量不用手机... 疫情之下与手机应这样相处→【科普】乘公交、上厕所时尽量不用手机... 疫情之下与手机应这样相处→疫情之下，需与手机保持适当距离，建议时不时离开一下，放松眼睛、双手和颈椎。此外，公共交通中、卫生间内、接触过公共物品没洗手前都最好不使用手机。详见↓  ,,无,无,无,2020-03-01 22:46,360安全浏览器,6,3,0
IwDUBEB0G,国家部委政策速览(3月1日)财政部、税务总局：发布支持个体工商户复工复业增值税政策日前，财政部、税务总局发布《关于支持个体工商户复工复业增值税政策的公告》，提出为支持广大个体工商户在做好新冠肺炎疫情防控同时加快复工复业，自2020年3月1日至5月31日，对湖北省增值税小规模纳税人，适用3%征收率的应税销售收入，免征增值税；适用3%预征率的预缴增值税项目，暂停预缴增值税。除湖北省外，其他省、自治区、直辖市的增值税小规模纳税人，适用3%征收率的应税销售收入，减按1%征收率征收增值税；适用3%预征率的预缴增值税项目，减按1%预征率预缴增值税。 十部门：严禁混合医疗废物和生活垃圾国家卫生健康委、生态环境部、国家发展改革委等十部门日前印发《医疗机构废弃物综合治理工作方案》，要求在2020年底前实现每个地级以上城市至少建成1个符合运行要求的医疗废物集中处置设施；到2022年6月底前，实现每个县（市）都建成医疗废物收集转运处置体系。《方案》要求，医疗机构按照《医疗废物分类目录》等要求制定具体的分类收集清单。严格落实危险废物申报登记和管理计划备案要求。严禁混合医疗废物、生活垃圾和输液瓶（袋），严禁混放各类医疗废物。规范医疗废物贮存场所（设施）管理。国家发改委、民政部：积极发挥行业协会商会作用，支持民营中小企业复工复产国家发展改革委办公厅、民政部办公厅近日发出通知，提出行业协会商会可根据不同地区的疫情状况，分区分级为行业企业尤其是民营中小企业恢复生产秩序做好服务，支持低风险地区企业全面复工复产，中风险地区企业尽快有序复工复产，高风险地区企业根据疫情态势逐步复工复产。涉及医疗卫生、药品器械、防护物资、消毒用品等疫情防控必需，供水、供气、供电、通信、环卫、物流运输等经济社会运行必需，食品、农牧、基本生活用品、市场流通销售等群众生活必需及其他重要国计民生领域的行业协会商会，要全力协助企业创造条件尽早复工复产。国家文物局：有序恢复开放文物、博物馆单位国家文物局近日发出通知，就疫情防控期间文博单位恢复开放和复工有关工作进行部署，通知明确各文博单位要严格落实疫情防控的各项措施，强化组织领导，明确防控责任，按照相关规定制定符合单位自身特点的实施细则和应急预案，不搞“一刀切”。通知要求，明确为低风险区域的博物馆、纪念馆和开放的文物保护单位，经当地党委政府同意后，可有序恢复开放；中风险区域的文物保护单位、遗址类博物馆的露天场所可逐步恢复开放，室内封闭展馆、展厅等区域原则上暂缓开放；高风险区域的各类博物馆、纪念馆和文物保护单位，暂不开放。 ,,无,无,无,2020-03-01 22:46,360安全浏览器,6,3,0
IwCjNhbUC,【小微个体必看！这些钱可以免，这些钱可以缓】国务院常务会多次部署减轻疫情对企业特别是中小微企业、个体工商户的影响，多部门陆续出台一系列扶持政策。哪些钱可以免？哪些钱可以缓？哪些事儿可以简？为提高复工复产服务便利度，使各项惠企政策易于知晓，国务院客户端上线中小微企业、个体工商户复工复产服务专区，全力保障小微企业和个体工商户有序复工复产，渡过难关。 [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/005YGkF1gy1gcek9bl3d8j30u01fbkie.jpg,http://ww1.sinaimg.cn/large/005YGkF1gy1gcek9bm1e8j30u01f9x5g.jpg,http://ww4.sinaimg.cn/large/005YGkF1gy1gcek9bn6mlj30u01nn4qp.jpg,http://ww1.sinaimg.cn/large/005YGkF1gy1gcek9cm1l5j30u01ianpa.jpg,http://ww4.sinaimg.cn/large/005YGkF1gy1gcek9d8x3cj30u01sx7wh.jpg,http://ww2.sinaimg.cn/large/005YGkF1gy1gcek9ccl15j30u01m71kx.jpg,http://ww1.sinaimg.cn/large/005YGkF1gy1gcek9c9f9nj30u01udb29.jpg,http://ww4.sinaimg.cn/large/005YGkF1gy1gcek9cish6j30u01957s3.jpg,http://ww2.sinaimg.cn/large/005YGkF1gy1gcek9cdet0j30u0141qnl.jpg",无,无,2020-03-01 18:43,微博 weibo.com,4,2,0
IwC4n3XXX,【全国首例！江苏成功开展全国首例新冠肺炎转阴患者双肺移植术】#共同战疫#  2月29日，我囯著名肺移植专家、南京医科大学附属无锡市人民医院副院长陈静瑜教授团队，在无锡成功开展全国首例新冠肺炎转阴患者双肺移植手术。　　该患者男性，59岁，确诊为COVID-19危重型，经气管插管呼吸机应用+ECMO维持和药物治疗后，连续核酸检测呈阴性，但双肺已严重病变受损且不可逆转。2月24日，经省级专家讨论，有肺移植手术指征，即转无锡。　　　　在江苏省卫健委统筹和省级专家会诊评估指导下，无锡市卫健委整合全市医疗资源，充分做好各项术前准备。2月29日获取外地脑死亡患者爱心捐献的肺源，经6小时高铁转运至无锡，即在无锡市第五人民医院负压手术室进行手术。历时6个多小时，顺利完成双肺移植手术，患者于23:35安返病房。目前，该患者已清醒，双肺氧合功能良好，生命体征平稳。下一步还将开展移植后抗排异、抗感染等后续治疗。 ,,无,无,无,2020-03-01 18:05,微博 weibo.com,21,1,1
IwBNJbUeW,"【盐城市房产政务服务中心关于疫情防控调整政务服务方式的通告】根据市疫情防控领导小组有关工作要求，为切实保障人民群众身体健康和生命安全，严格控制人员聚集，严防疫情传播蔓延，现就疫情防控期间房产政务服务工作作出调整并通告如下：一、调整政务服务范围从3月3日起，市房产政务服务中心所有窗口业务全部采取实名制电话预约服务方式，取消现场排队；确需到现场办理的，请市民朋友在工作时间电话预约后，到大厅相关窗口办理（各窗口预约电话附后）。二、预约时间和方式从3月2日起，工作日上班时间（上午8:30-12:00、下午2:30-6:00）接受预约，税务局、公积金中心和不动产登记中心通过其他渠道公布的网上预约、受理办件方式以其发布的通告为准。经过预约来市房产政务服务中心大厅现场办事的市民朋友,请从东北门进入，全程佩戴口罩，现场测量体温，查验身份证入场。三、注意事项疫情期间，市房产政务服务中心努力做好服务大厅消毒、清洁和通风工作，工作人员按照规定佩戴口罩，也请入场的市民朋友做好个人防护，自觉佩戴口罩并配合做好询问及体温测量，保持安全距离，维护正常秩序，尽量减少在大厅停留时间，即办即离，降低感染风险。市房产政务服务中心大厅窗口恢复正常服务时间另行通知。感谢广大市民朋友的理解和支持！让我们共同努力，合力打赢这场疫情防控阻击战！盐城市房产政务服务管理办公室2020年3月1日 原图 ",,http://wx3.sinaimg.cn/large/005YGkF1gy1gcejmo6y1ej30hf0fadgk.jpg,无,无,2020-03-01 17:24,微博 weibo.com,4,6,0
IwBBkzIrr,#共同战疫#  为什么现在不能开学？看了这个视频就知道了 → 央视新闻的微博视频  ,,无,无,无,2020-03-01 16:53,微博视频号,22,8,4
IwBdRBdW7,【防疫发展两手硬】韩企在盐城⑤——萨玛瑞汽配公司【防疫发展两手硬】韩企在盐城⑤——萨玛瑞汽配公司  原图 ,,http://wx2.sinaimg.cn/large/005YGkF1gy1gcehdi1oinj30hs0yqkfx.jpg,无,无,2020-03-01 15:55,专业版微博,4,1,1
IwBduwbab,【夺取双胜利 我们在行动 | 南通、连云港篇】http://t.cn/A67J2Iaa当前，新冠肺炎疫情防控工作到了关键阶段，全国各地科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。时不我待，随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力、聚力向前，蹄疾步稳推进经济发展。今天，我们聚焦南通和连云港的复工情况，点击链接一起来看！ 原图 ,,http://wx1.sinaimg.cn/large/005YGkF1gy1gcehdzl0axj30hs0vktfi.jpg,无,无,2020-03-01 15:54,专业版微博,2,0,0
IwASuzlUO,【#全国连续18天治愈出院超千人#，#全国累计治愈出院超4万例#】据国家卫健委通报，2月29日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团新增治愈出院病例2623例。截至2月29日24时，全国#累计治愈出院病例41625例#。  原图 ,,http://wx1.sinaimg.cn/large/005YGkF1gy1gce9tkcvt9j30j60weq69.jpg,无,无,2020-03-01 15:03,微博 weibo.com,3,0,0
IwAdv79tj,【教育部：两类大学生可先返校】2月29日，教育部印发《关于统筹做好教育系统新冠肺炎疫情防控和教育改革发展工作的通知》，再次明确疫情没有得到基本控制前不开学，各地制定返校方案时，可安排高三、初三等毕业班学生先返校，高三年级实行省域同步；高校医学专业和医学类院校学生、毕业年级学生先返校。 原图 ,,http://wx1.sinaimg.cn/large/005YGkF1gy1gce9jz9r92j30u00hygmy.jpg,无,无,2020-03-01 13:22,微博 weibo.com,2,0,8
