微博正文
#江苏驰援湖北# 【江苏捐赠的正压通气头罩首次在黄石使用】由江苏捐赠的正压通气头罩在黄石新冠肺炎危重症患者救治中首次使用。3月1日，江苏援黄医疗队医护人员对一名80岁男性新冠肺炎危重症患者实施气管切开术。3位医护人员均使用了防护等级更高的正压通气头罩。东南大学附属中大医院副院长、江苏援黄石医疗支援队医疗救治及专家组组长黄英姿介绍，正压通气头罩可以在佩戴者的头肩部形成一个正压环境，外部气体和病毒都无法进入，佩戴者呼吸的都是经过过滤的新鲜空气。http://t.cn/A67JJrdg 
#共同抗疫#【江苏成功开展#全国首例新冠肺炎转阴患者双肺移植手术#】2月29日，著名肺移植专家、南京医科大学附属无锡市人民医院副院长陈静瑜教授团队，在无锡成功开展全国首例新冠肺炎转阴患者双肺移植手术。目前，患者(男性，59岁)双肺氧合功能良好，生命体征平稳。下一步还将开展抗排异、抗感染等后续治疗。http://t.cn/A67xT5Ko 
【#夺取双胜利 我们在行动# | 复工复产，江苏聚力向前】当前，新冠肺炎疫情防控工作到了关键阶段，全国各地科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。时不我待，随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力、聚力向前，蹄疾步稳推进经济发展。今天，我们聚焦南通和连云港的复工情况→ http://t.cn/A67JGWiH  #复工复产进行时# 原图 
#便民提示#【明起南京两条有轨电车线路将调整】根据南京市关于做好复工复产工作的相关要求，结合市民出行需求及疫情防控的现状，南京有轨电车自2020年3月2日起，将对南京有轨电车两条线作出运营调整，具体戳图→  原图 
#市县看点##共同抗疫#【3月3日起，#游玄武湖需要实名预约#】疫情防控期间，为进一步保障市民、游客游园安全，维护游园秩序，2020年3月3日起，南京玄武湖景区全面实施实名制登记入园，景区实名制预约小程序同步上线正式运行。实名制登记分为线上预约和现场实名登记两种方式。线上预约入口为“南京玄武湖景区”微信公众号，“旅游服务”模块中点击“玄武湖预约”，每人一次最多预约五人；现场实名登记需提供身份证等有效证件。 原图 
#江苏驰援湖北#【小表格大作用！#江苏经验提高黄石重症患者治愈率#】挂职黄石市中医医院副院长的江苏省人民医院主任医师姚欣刚来时发现，因疫情突然，很多医生是从全市抽调来的，对疾病的认识各有不同。如何让大家高效统一地收集更多有价值信息？他带来江苏团队的《新冠肺炎重症患者住院评估表》，提高了患者治愈率。http://t.cn/A67MBNTL 
#复工复产进行时#【#邮政业完成八成复工复产任务#，承运、寄递疫情防控物资累计超4万吨】国家邮政局公布消息，截止2月28日，全国邮政行业复工人员达246万人，复工率达90.2%，快件日揽收量和投递量分别达到1.62和1.6亿件，复产率分别达到81%和80%，超额完成第二阶段复工复产任务目标。同时，邮政、快递企业继续全力保障对武汉等疫情重点地区的应急救援物资和人民群众日常基本生活物资的运输和寄递服务，截至2月28日累计承运、寄递疫情防控物资4.15万吨。（@人民日报） 
#江苏疫情通报#【2月29日江苏无新增新型冠状病毒肺炎确诊病例 】2020年2月29日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例10例。截至2月29日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例102例。其中，轻型病例9例；普通型病例90例；重型病例1例（南京市1例）；危重型病例2例（无锡市1例、连云港市1例）。出院病例529例。其中，南京市58例、无锡市49例、徐州市71例、常州市48例、苏州市64例、南通市37例、连云港市37例、淮安市55例、盐城市27例、扬州市23例、镇江市11例、泰州市37例、宿迁市12例。目前，江苏省追踪到密切接触者12633人，已解除医学观察12503人，尚有130人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。 [组图共2张] 原图 
#生活提示#【特殊时期别抠门！99%的人不知道，空调千万不能马上关…】办公室或者商场之类的公共场所，免不了需要开空调。面对疫情，空调通风系统应该如何安全、合理使用？小苏提醒大家，千万不能忽略的空调使用细节↓转发周知！荔直播的秒拍视频  
#江苏驰援湖北#【南师大教授自驾赴武汉加入“十三太保” 他们研制的“神器”让病毒灰飞烟灭】在武汉火神山医院，有一台可以让病毒分分钟“灰飞烟灭”的“神器”，它已经在这儿开工一周了。几天前，“神器”的研发成员之一，南京师范大学王风贺教授“一人成队”自驾急赴武汉，为的就是陪它到火神山医院火速动工。王风贺介绍，这台“神器”就是移动式医疗废物应急焚烧车，它工作起来相当于一个“小型焚烧厂”，一个小时能焚烧4桶240升装的医疗垃圾，而且安全、高效、机动。这台车并非应对此次疫情专门打造的，十年前第一代样车就存在了，之前处于备战状态，这次“转正”，终于有了用武之地。（@扬子晚报）http://t.cn/A67cb06x http://t.cn/A67q5k83 
#共同抗疫##江苏友城来打call#【我们的心与你同在！】新冠肺炎疫情发生以来，江苏众多国际友城发来驰援讯息。继26日澳大利亚维多利亚州发来慰问视频后，英国埃塞克斯郡也专门录制视频，为中国战“疫”中的全球担当点赞，表示将与中国人民携手并肩、共克时艰。埃塞克斯郡常务副郡长凯文·本特雷和国际部主任彼特·马宁也对江苏抗击疫情的情况表示关切和慰问。“在这个特殊时刻，我要向江苏人民表达最美好的祝愿。我们与江苏有着深厚的友谊，埃塞克斯郡将与江苏人民并肩作战，并将全力提供帮助。”本特雷说。江苏与埃塞克斯郡于1988年开始友好交往，1992年正式缔结友城关系，被誉为两国地方政府间友好合作的典范。“埃塞克斯郡与江苏是30多年的老朋友，过去几周里，我们一直牵挂着江苏。相信中国一定能战胜疫情，我们的心与你同在。”马宁说。 http://t.cn/A67cexcp 
#及时关注#【世卫组织：20多种新冠肺炎疫苗正在研发】当地时间28日，世卫组织总干事谭德塞在日内瓦表示，目前全球共有20多种新冠肺炎疫苗正在研发阶段，一些治疗方法正进行临床试验，预计几周内将获首批结果。谭德塞说，中国的经验证明，只要尽早采取有力措施，仍有机会遏制病毒传播，避免其成为大流行病。（@央视新闻）http://t.cn/A67tCUTc 
#教育资讯#【江苏省教育厅：疫情期间，各级各类学校原则上不收取任何费用】江苏省教育厅今天发布《关于新冠肺炎疫情防控期间谨防利用线上教学进行网络诈骗的预警》，其中要求，各地各校不得以疫情防控期间开展线上教学为由擅自设立收费项目，违规收费。在疫情防控期间，各级各类学校原则上不收取任何费用，并及时告知家长和学生。 
#教育资讯# 【#江苏继续推迟学生返校#】根据中央应对新冠肺炎疫情工作领导小组有关会议精神，结合我省疫情防控实际，经研究，全省各级各类学校（高校、中小学、中职学校、幼儿园、托育机构，下同）继续推迟学生返校。各级各类学校要按照省教育厅有关要求，规范开展线上教育教学活动。严禁培训机构在学生返校前开展线下培训活动。具体返校时间，将视疫情防控情况，经科学评估后确定，提前一周向社会公布。各级教育行政部门和各级各类学校要据此制定实施计划，开展相关工作。（江苏教育发布） 
#江苏疫情通报#【2月28日江苏无新增新型冠状病毒肺炎确诊病例 】2020年2月28日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例13例。截至2月28日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例112例。其中，轻型病例9例；普通型病例100例；重型病例1例（南京市1例）；危重型病例2例（无锡市1例、连云港市1例）。出院病例519例。其中，南京市58例、无锡市48例、徐州市71例、常州市48例、苏州市62例、南通市37例、连云港市35例、淮安市55例、盐城市27例、扬州市19例、镇江市10例、泰州市37例、宿迁市12例。目前，江苏省追踪到密切接触者12633人，已解除医学观察12443人，尚有190人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。 [组图共2张] 原图 
"""#江苏播报#【一图读懂《“苏政50条”服务指南》】一手抓疫情防控，一手抓经济发展。2 月 12 日，江苏省政府出台了《关于应对新型冠状病毒肺炎疫情影响 推动经济循环畅通和稳定持续发展的若干政策措施》（简称 """" 苏政 50 条 """"）。2 月 28 日，"""" 苏政 50 条 """" 首批 16 项具体服务事项和办理指南出炉，涉及 6 条政策举措，涵盖能源价格、重大项目、投资审批等多个方面。 [组图共2张] 原图 """
#生活提示#【生病就诊注意这些事】疫情期间，新冠肺炎之外的病人依然有就诊的需求。可有人担心去医院后不小心接触到确诊或疑似患者，万一被传染了怎么办？生病就医需要知道的那些事情，一起来看→ 荔直播的秒拍视频  
#共同抗疫#【专家：#中西医结合治疗新冠肺炎效果1+1＞2#】在疫情防控阻击战中，中医药治疗的成效如何？国家卫健委新冠肺炎重症救治专家组成员、江苏省中医院副院长朱佳：西医的抗生素疗法对于免疫功能较差的患者效果并不显著，针对这类患者，中西医结合疗法能够发挥1+1大于2的作用。而新冠肺炎的早期及预防，中医药也能发挥重要作用。http://t.cn/A67GAqSX 
#江苏播报#【全国首个电力大数据公共查询平台在江苏亮相】今后，政府、企业可以自助查询复工复产、农业复耕等信息。2月28日，由国网江苏省电力有限公司开发的全国首个电力大数据公共查询平台（网址：www.jsnyyw.cn）在江苏亮相。该平台根据电力大数据分析全省企业复工、疫情相关企业复产等情况，通过互联网公开并每日更新有关信息，助力政府部门和企业复工复产、防控疫情。 原图 
#夺取双胜利 我们在行动##复工复产进行时#【生鲜、粮油……你下的每笔订单，他们都“使命必达” 物流不言休，经济“循环”畅】复工复产，交通运输是“大动脉”，物流畅通是“微循环”。经济社会是一个动态循环系统，在防控疫情的同时，让生活原料、材料、资源、产品、商品等生产生活要素流通起来，是经济的活力之源。而要素的流通又需要强大的物流来支撑——让原料运得进、产品卖得出，满足企业复工复产基本条件，保障医疗用品、群众生活必需品等重点物资应急运输，都需要确保物畅其流。（@扬子晚报）http://t.cn/A67b9GVP 
#江苏疫情通报#【徐州：出院病例中1例复检呈阳性】据@徐州发布 通报，2020年2月27日0-24时，徐州市无新增新型冠状病毒肺炎确诊病例。全市累计报告新型冠状病毒肺炎确诊病例79例(包含外省市病例1例)，其中，有轻型病例2例，普通型病例77例。目前出院病例71例。已确诊病例中，按照病例管理地区划分，鼓楼区3例，云龙区5例，贾汪区7例，泉山区5例，丰县3例，沛县7例，睢宁县31例，新沂市2例，邳州市15例，外省市病例1例。在岀院病例中，有1例经过14天集中隔离后，核酸复检阳性（无症状），目前已收入定点医院医学观察；排查到密切接触者8人，正在接受集中隔离观察。目前追踪到密切接触者2068人，已解除医学观察2030人，尚有38人正在接受医学观察。 原图 
#教育资讯#【#今年高考是否会推迟#？】教育部副部长翁铁慧：教育部正在密切关注疫情发展变化的情况，综合研判各方面因素对考试组织工作的影响。高考的方案必须要全力保障广大考生和涉考工作人员的生命安全和身体健康，相关工作安排将及时向社会公布。（@央视新闻）央视新闻的微博视频  
"""#共同抗疫##江苏驰援湖北#【好消息不断！#黄石患者出院率超50%#】经过苏黄两地专家团队的合力救治，2月26日，被称为""""黄石市第二座小汤山""""的黄石有色医院，有6名患者出院，该院新冠肺炎患者累计出院人数已达103人。截至27日中午，黄石市阳新县人民医院也累计出院61人。截至目前，黄石全市新冠肺炎患者出院率超过50%。加油！http://t.cn/A67yuH9x """
#共同抗疫##江苏驰援湖北#【每天2万斤！#江苏蔷薇村向湖北连捐20天蔬菜#：一直捐到疫情结束】2月7日起，宿迁蔷薇村每天会将2万多斤青菜送到湖北。这些菜出自村民李华忠和李华平的蔬菜基地，有人当志愿者收菜装车，有司机请缨送菜。李华忠说，会一直捐到疫情结束，“我们捐这点菜算不了什么，在一线的医务人员才是真正的英雄。”http://t.cn/A67y3B8i 
#江苏驰援湖北#【江苏向湖北黄石集中捐赠疫情防控资金和物资 累计捐赠款物已达8000余万元】2月28日上午，江苏省支援黄石市新冠肺炎疫情防控资金和物资捐赠仪式在黄石市举行。2月9日以来，江苏省坚决贯彻中央决策部署，坚持“责任包干、落细落实”，积极开展对口支援黄石各项工作，迅速派出360余人的医疗队，在做好医疗救治、参与疫情防控的同时，积极调度资源，动员引导社会各界给黄石提供更大支持。截至目前，据不完全统计，江苏省共计援助黄石市资金3538万元，物资71批次、191万件、估值4500余万元。 原图 
#江苏疫情通报#【2月27日江苏无新增新型冠状病毒肺炎确诊病例】2020年2月27日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例12例。1例危重型病例转为重型病例，2例重型病例转为普通型病例。截至2月27日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例125例。其中，轻型病例11例；普通型病例111例；重型病例1例（南京市1例）；危重型病例2例（无锡市1例、连云港市1例）。出院病例506例。其中，南京市58例、无锡市47例、徐州市71例、常州市48例、苏州市59例、南通市37例、连云港市35例、淮安市50例、盐城市25例、扬州市17例、镇江市10例、泰州市37例、宿迁市12例。目前，江苏省追踪到密切接触者12625人，已解除医学观察12321人，尚有304人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。 [组图共2张] 原图 
#教育资讯#【转发周知！#全国高等教育自学考试推迟#】教育部通知：经研究，原定于2020年4月11日至12日举行的全国高等教育自学考试推迟举行，具体考试时间将根据疫情防控进展情况另行通知。（@央视新闻）  
#共同抗疫##市县看点# 【韩国飞南京OZ349航班3名旅客排除新冠病毒感染】据@南京发布 消息 ，2月25日，韩国飞南京OZ349航班3名发热旅客，经我市专业卫生机构两次检测，3名发热旅客口腔咽拭子新型冠状病毒核酸检测均为阴性，排除新型冠状病毒感染。根据国家疫情防控工作方案规定，2月27日上午对该航班94名留置观察人员解除留观。对该航班留宁人员，按规定仍将进行居家医学观察14天。 
#夺取双胜利 我们在行动#【做口罩遇“堵点”，原材料没着落……别急，找“复工管家”！为复工解难，政府甘当“店小二”】复工复产了，但是受疫情影响，上下游的配套却跟不上。这成为防疫复工企业的痛点和难点。尤其是产业链长、配套企业多的龙头企业，复工复产的难度就更大。针对这些痛点和难点，各级政府各个部门眼光“下沉”考虑问题，手段“精准”解决问题，派出“复工管家”进驻企业，提供“店小二”式的周到服务。通过精准“护航”联动上下游，既做到疫情防控，又实现全产业链复工。（@扬子晚报）http://t.cn/A672JKVt http://t.cn/A672JK6K 
#共同抗疫#【钟南山：我们有信心，四月底基本控制疫情】#钟南山表示四月底基本控制疫情#2月27日上午10:00，广州医科大学将举办疫情防控专场新闻通气会。钟南山表示“根据我们团队在传统模型基础上加上影响因素，国家强力干预和春节后的回程高峰消除后，预测高峰在2月中接近2月底，到了2月15日，数字果然下来了。我们更接近国外权威的预测值。我们有信心，新冠疫情4月底基本控制。”http://t.cn/A672o0wz 
#夺取双胜利 我们在行动#【助力企业复工复产 打造“江苏样本”】当前，新冠肺炎疫情防控工作到了关键阶段，全国各地科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。时不我待，随着全国各地陆续进入“复工进行时”，江苏也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力，有力推动着我省经济活动的全面恢复，打造抗疫情稳生产的“江苏样本”。今天，我们聚焦南京、镇江、盐城，一起来看→ http://t.cn/A672ntqj 原图 
#江苏播报##江苏疫情播报# 【00000000！#江苏连续8天零新增#！】截至2020年2月26日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例，连续8天零新增！但是，零新增不等于零风险，现在还不是可以撒欢的时候；有信心不等于能大意，别让无数人的努力白费！疫情还未结束，不能放松警惕，江苏人稳住，期待更多零早日到来！ [组图共2张] 原图 
#共同抗疫##江苏驰援湖北#【#江苏为援鄂医疗队派出大厨团##江苏美食为武汉加油#！】南京盐水鸭、苏州三虾面、扬州炒饭、无锡酱排骨、徐州地锅鸡、盐城鱼汤面、常州天目湖鱼头…全江苏的美食军团来守护最好的武汉热干面！疫情面前，越艰难险阻，我们越众志成城！同饮一江水，同传一片情！转发自己的家乡美食，为武汉加油！ @南京发布 @微常州 @徐州发布 @连云港发布 @无锡发布 @淮安发布 @苏州发布 @南通发布 [组图共9张] 原图 
#江苏疫情播报#【2月27日最新发布：2月26日江苏无新增新型冠状病毒肺炎确诊病例】2020年2月26日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例31例。　　截至2月26日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。　　累计确诊病例中，在院病例137例。其中，轻型病例11例；普通型病例121例；重型病例2例（苏州市1例、淮安市1例）；危重型病例3例（南京市1例、无锡市1例、连云港市1例）。　　出院病例494例。其中，南京市58例、无锡市45例、徐州市69例、常州市48例、苏州市59例、南通市37例、连云港市33例、淮安市50例、盐城市25例、扬州市17例、镇江市10例、泰州市32例、宿迁市11例。　　目前，江苏省追踪到密切接触者12625人，已解除医学观察12246人，尚有379人正在接受医学观察。　　专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。 原图 
#共同抗疫#【战“疫”无国界！#外教老师当上防疫志愿者#】尼泊尔小伙贾加迪斯，是@扬州大学 化学系的外教老师。见执勤站岗的志愿者非常辛苦，贾加迪斯也主动加入执勤队伍。虽然语言不通，但他干起工作非常耐心细致，很快就熟悉了工作流程。看到外国小伙站岗，社区居民连连称赞，“我们大家更要自觉了！”http://t.cn/A67ZXFg8 
#江苏驰援湖北##共同抗疫#【#黄石5名重症患者治愈出院# 黄石一天出院了23人】2月25日，在江苏专家和当地医务人员的共同努力下，黄石市矿务局医院12名新冠肺炎患者康复出院。同一天，在黄石市阳新县人民医院，11名新冠肺炎患者治愈出院，其中5名是由重症转轻症后治愈出院的。继续加油！http://t.cn/A67zSYa1 
"""#夺取双胜利 我们在行动#【助力企业复工复产的“江苏速度”】时不我待，随着全国各地陆续进入“复工进行时”，江苏也在持续发力。在一系列政策组合拳下，无锡工业企业加快复工复产步伐，逐步恢复往日生机。为实现早日复工和尽快投产，高邮高新区所有复工企业均采取了有针对性的举措，确保生产安全、人员安全。徐州市在抓好疫情防控的同时，积极创新方式抓招商、上项目、促发展。以""""不见面""""方式招商引资，取得明显成效。详戳→ http://t.cn/A67zq1Jr 原图 """
#及时关注# 【针对这四类群体，一大波优惠措施来了！】25日，国务院召开常务会议。会议针对高校毕业生、农民工、中小微企业和个体工商户推出多项优惠措施，帮助缓解疫情影响纾困解难。 针对这四类群体，一大波优惠措施来了！  
#江苏疫情播报#【2月25日江苏无新增新型冠状病毒肺炎确诊病例】2020年2月25日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例5例。2例重型病例转为普通型病例。    截至2月25日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例168例。其中，轻型病例14例；普通型病例149例；重型病例2例（苏州市1例、淮安市1例）；危重型病例3例（南京市1例、无锡市1例、连云港市1例）。出院病例463例。其中，南京市58例、无锡市42例、徐州市67例、常州市41例、苏州市57例、南通市35例、连云港市27例、淮安市46例、盐城市24例、扬州市17例、镇江市10例、泰州市28例、宿迁市11例。目前，江苏省追踪到密切接触者12623人，已解除医学观察12134人，尚有489人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。（@健康江苏微博） 原图 
#夺取双胜利 我们在行动#【国有难、召必应、战必胜！黄英姿：江苏援黄石医疗队专家的责任与担当】2月11日，江苏组建医疗支援队奔赴黄石，东南大学附属中大医院副院长、重症医学科主任医师黄英姿担任医疗救治及专家组组长。在重症救治的专业领域，黄英姿多次临危受命。再次挂帅出征，黄英姿深知，新冠肺炎患者救治是一个全新领域，在未知面前，能做的就是竭尽全力。一起来看她的故事→ http://t.cn/A67P7b4x 原图 
【#江苏省一级响应调整为二级# 意味着什么？】在持续拉响31天一级警报后，24日，江苏将疫情防控调整为二级响应。最近江苏企业逐步复工复业，各大开放型公园逐步开放，有物业小区解除出入禁止，部分人员也开始有活跃的迹象，相关负责人一再表示，这些事情很重要↓  [组图共9张] 原图 
#共同抗疫#【湖北保卫战MV：疫情不退，我们不退】岁末年初，疫情肆虐。19个省份对口支援湖北各地。“随州，江西来了！”“襄阳，辽宁来了！”“黄石，南京来了！”……41600多名白衣战士逆风而行，打响史无前例的湖北保卫战。这座城我们一起守！湖北加油，武汉加油，中国加油！人民日报的微博视频  
